X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.000000,37.943707,0.000000,20.159203,0.000000,8.803489,0.000000,33.790100,0.000000,15.861458,0.000000,37.320854
0.025253,65.551300,0.025253,35.196465,0.025253,14.209055,0.025253,50.947201,0.025253,18.115845,0.025253,53.344223
0.050506,88.189957,0.050506,47.963814,0.050506,21.297184,0.050506,61.713108,0.050506,17.744915,0.050506,61.523399
0.075759,89.704041,0.075759,49.154907,0.075759,26.438557,0.075759,56.439880,0.075759,13.708841,0.075759,58.223930
0.101012,67.811188,0.101012,38.314487,0.101012,26.573833,0.101012,41.981247,0.101012,8.978314,0.101012,49.879314
0.126265,43.094265,0.126265,24.337166,0.126265,23.593508,0.126265,27.391464,0.126265,6.891404,0.126265,46.288498
0.151518,25.647781,0.151518,14.912429,0.151518,20.670500,0.151518,20.102209,0.151518,9.813329,0.151518,54.985474
0.176771,15.862924,0.176771,11.876318,0.176771,19.342335,0.176771,20.896317,0.176771,20.043325,0.176771,73.576401
0.202024,12.362242,0.202024,14.397624,0.202024,21.628250,0.202024,28.284462,0.202024,35.106907,0.202024,88.011589
0.227277,13.742929,0.227277,19.159744,0.227277,28.928617,0.227277,34.817608,0.227277,46.721104,0.227277,85.630295
0.252530,19.100805,0.252530,22.273977,0.252530,40.629711,0.252530,35.309364,0.252530,39.507126,0.252530,70.464737
0.277783,25.643141,0.277783,20.119518,0.277783,51.593998,0.277783,27.159903,0.277783,23.108913,0.277783,51.619427
0.303036,26.600323,0.303036,14.704745,0.303036,54.601082,,,,,0.303036,36.478592
0.328289,20.500381,,,0.328289,46.844749,,,,,,
,,,,0.353542,34.262508,,,,,,
,,,,0.378795,23.974920,,,,,,
